country,satellite_name,approximate_orbit_type,record_id,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,HRR_Category,is_nominated,nominated_at,norad_cat_id,has_dossier,last_updated_at,justification,focused_analysis,days_old,conjunction_count,is_unk_object,all_maneuvers,days_since_ob,recent_maneuvers,deltaV_90day,has_sister_debris
CIS,SL-14 R/B,LEO,10096,ROCKET BODY,1977,PKMTR,-70.94856912,-45.06140362,"62.925556,40.577778",,FALSE,,10096,FALSE,,,,17390,0,FALSE,,,,,
CIS,COSMOS 839 DEB,LEO,10436,DEBRIS,1976,PKMTR,29.39840935,-32.93402367,"62.925556,40.577778",,FALSE,,10436,FALSE,,,,17741,0,FALSE,,,,,
CIS,SL-6 R/B(2),HEO,11888,ROCKET BODY,1980,PKMTR,126.9150131,-19.61821317,"62.925556,40.577778",,FALSE,,11888,FALSE,,,,16286,0,FALSE,,,,,
US,DELTA 1 DEB,LEO,12529,DEBRIS,1976,AFWTR,-49.97556469,63.24844584,"34.742221,-120.57243",,FALSE,,12529,FALSE,,,,17720,0,FALSE,,,,,
CIS,SL-12 R/B(2),MEO,13610,ROCKET BODY,1982,TTMTR,85.4247124,128.2572213,"45.965,63.305",,FALSE,,13610,FALSE,,,,15454,0,FALSE,,,,,
CIS,SL-12 R/B(2),GEO,18634,ROCKET BODY,1987,TTMTR,-84.0285869,-45.40569888,"45.965,63.305",,FALSE,,18634,FALSE,,,,13569,0,FALSE,,,,,
CIS,SL-8 DEB,LEO,21249,DEBRIS,1991,PKMTR,-162.5254582,-98.07395074,"62.925556,40.577778",,FALSE,,21249,FALSE,,,,12409,0,FALSE,,,,,
US,USA 103,Unknown Orbit Category,23097,PAYLOAD,1994,AFETR,0,0,"28.4917337,-80.5825555",,FALSE,,23097,FALSE,,,,11233,0,FALSE,,,,,
CIS,SL-14 DEB,LEO,26005,DEBRIS,1991,PKMTR,9.339711283,22.61155748,"62.925556,40.577778",,FALSE,,26005,FALSE,,,,12181,0,FALSE,,,,,
US,USA 176,GEO,28158,PAYLOAD,2004,AFETR,87.91604609,87.1905644,"28.4917337,-80.5825555",Blue,FALSE,,28158,FALSE,,,,7659,1,FALSE,,,,,
US,ATLAS 5 CENTAUR R/B,HEO,28473,ROCKET BODY,2004,AFETR,58.82236332,165.8841282,"28.4917337,-80.5825555",,FALSE,,28473,FALSE,,,,7352,0,FALSE,,,,,
US,SCOUT G-1 DEB,LEO,29210,DEBRIS,1987,AFWTR,0,0,"34.742221,-120.57243",,FALSE,,29210,FALSE,,,,13654,0,FALSE,,,,,
PRC,CZ-4B DEB,LEO,29539,DEBRIS,2006,TSC,26.25180283,127.1089658,"38.849086,111.608497",,FALSE,,29539,FALSE,,,,6857,0,FALSE,,,,,
PRC,FENGYUN 1C DEB,LEO,31518,DEBRIS,1999,TSC,0,0,"38.849086,111.608497",,FALSE,,31518,FALSE,,,,9400,0,FALSE,,,,,
US,DELTA 4H DEB,Unknown Orbit Category,32558,DEBRIS,2007,AFETR,0,0,"28.4917337,-80.5825555",,FALSE,,32558,FALSE,,,,6293,0,FALSE,,,,,
IND,PSLV DEB,LEO,35350,DEBRIS,2001,SRI,-19.90037801,94.22048479,"13.7178,80.2",,FALSE,,35350,FALSE,,,,8504,0,FALSE,,,,,
CIS,COSMOS 2251 DEB,LEO,35670,DEBRIS,1993,PKMTR,39.99585443,50.95457541,"62.925556,40.577778",,FALSE,,35670,FALSE,,,,11554,0,FALSE,,,,,
PRC,CZ-3C DEB,HEO,39350,DEBRIS,2010,XSC,-133.5762562,-101.9103117,"28.246017,102.026556",,FALSE,,39350,FALSE,,,,5208,0,FALSE,,,,,
CIS,COSMOS 1867 COOLANT,LEO,39645,DEBRIS,1987,TTMTR,142.5517496,26.19027854,"45.965,63.305",,FALSE,,39645,FALSE,,,,13722,0,FALSE,,,,,
CIS,FREGAT DEB,LEO,46525,DEBRIS,2011,TTMTR,0,0,"45.965,63.305",,FALSE,,46525,FALSE,,,,4948,0,FALSE,,,,,
TBD,OBJECT AA,LEO,47437,UNKNOWN,2021,AFETR,30.6140765,-104.5134819,"28.4917337,-80.5825555",,FALSE,,47437,FALSE,,,,1470,0,FALSE,,,,,
US,STARLINK-2337,LEO,47880,PAYLOAD,2021,AFETR,-175.0260674,-130.5323513,"28.4917337,-80.5825555",,FALSE,,47880,FALSE,,,,1421,11,FALSE,,,,,
TBD,OBJECT AE,LEO,47960,UNKNOWN,2021,TTMTR,50.38528302,160.6917475,"45.965,63.305",,FALSE,,47960,FALSE,,,,1413,0,FALSE,,,,,
US,THORAD AGENA D DEB,LEO,4821,DEBRIS,1970,AFWTR,178.2103203,-72.04940003,"34.742221,-120.57243",,FALSE,,4821,FALSE,,,,20024,0,FALSE,,,,,
US,STARLINK-2621,LEO,48370,PAYLOAD,2021,AFETR,54.79928555,104.1870379,"28.4917337,-80.5825555",,FALSE,,48370,FALSE,,,,1370,12,FALSE,,,,,
CIS,COSMOS 2499 DEB,LEO,50802,DEBRIS,2014,PKMTR,0,84.37778856,"62.925556,40.577778",,FALSE,,50802,FALSE,,,,3908,0,FALSE,,,,,
US,STARLINK-5145,LEO,54008,PAYLOAD,2022,AFWTR,-125.2902531,-84.74276614,"34.742221,-120.57243",,FALSE,,54008,FALSE,,,,851,4,FALSE,,,,,
US,STARLINK-5307,LEO,55658,PAYLOAD,2023,AFWTR,67.76143206,168.1115426,"34.742221,-120.57243",,FALSE,,55658,FALSE,,,,716,6,FALSE,,,,,
US,STARLINK-30442,LEO,57868,PAYLOAD,2023,AFETR,-157.9895996,164.4697541,"28.4917337,-80.5825555",,FALSE,,57868,FALSE,,,,505,6,FALSE,,,,,
US,STARLINK-30793,LEO,58185,PAYLOAD,2023,AFETR,80.02257341,42.16781126,"28.4917337,-80.5825555",,FALSE,,58185,FALSE,,,,461,8,FALSE,,,,,
US,STARLINK-30762,LEO,58197,PAYLOAD,2023,AFETR,5.836206465,-24.70640827,"28.4917337,-80.5825555",,FALSE,,58197,FALSE,,,,461,2,FALSE,,,,,
US,STARLINK-31949,LEO,59891,PAYLOAD,2024,AFETR,-144.493079,-85.3865632,"28.4917337,-80.5825555",,FALSE,,59891,FALSE,,,,250,0,FALSE,,,,,
US,STARLINK-31793,LEO,60053,PAYLOAD,2024,AFWTR,122.6518987,134.572758,"34.742221,-120.57243",,FALSE,,60053,FALSE,,,,239,7,FALSE,,,,,
US,STARLINK-32079,LEO,60336,PAYLOAD,2024,AFETR,35.74144473,162.2770626,"28.4917337,-80.5825555",,FALSE,,60336,FALSE,,,,184,0,FALSE,,,,,
PRC,CZ-6A DEB,LEO,61354,DEBRIS,2024,TSC,0,32.2282236,"38.849086,111.608497",,FALSE,,61354,FALSE,,,,180,0,FALSE,,,,,
PRC,CZ-6A DEB,LEO,61819,DEBRIS,2024,TSC,0,22.59503966,"38.849086,111.608497",,FALSE,,61819,FALSE,,,,180,0,FALSE,,,,,
US,DELTA 1 DEB,LEO,12542,DEBRIS,1976,AFWTR,-32.49004766,127.1862917,"34.742221,-120.57243",,FALSE,,12542,FALSE,,,,17720,0,FALSE,,,,,
SWED,TELE-X,GEO,19919,PAYLOAD,1989,FRGUI,-11.55953354,63.57869112,"5.222222,-52.773611",,FALSE,,19919,FALSE,,,,13090,0,FALSE,,,,,
US,DELTA 1 DEB,LEO,21453,DEBRIS,1975,AFWTR,136.6945894,-145.4078904,"34.742221,-120.57243",,FALSE,,21453,FALSE,,,,18133,0,FALSE,,,,,
CIS,SL-19 DEB,LEO,23479,DEBRIS,1994,TTMTR,164.320848,35.19114769,"45.965,63.305",,FALSE,,23479,FALSE,,,,10996,0,FALSE,,,,,
PRC,CZ-4 DEB,LEO,26222,DEBRIS,1999,TSC,-158.5481305,-177.5567996,"38.849086,111.608497",,FALSE,,26222,FALSE,,,,9243,0,FALSE,,,,,
US,DELTA 1 DEB,LEO,27729,DEBRIS,1977,AFETR,156.6135471,-46.53318009,"28.4917337,-80.5825555",,FALSE,,27729,FALSE,,,,17370,0,FALSE,,,,,
FR,ARIANE 44L DEB,HEO,28039,DEBRIS,1991,FRGUI,-109.6053068,33.16837829,"5.222222,-52.773611",,FALSE,,28039,FALSE,,,,12437,0,FALSE,,,,,
CIS,EXPRESS AM-1,GEO,28463,PAYLOAD,2004,TTMTR,-94.42661696,-8.289916995,"45.965,63.305",Red,FALSE,,28463,FALSE,,,,7401,0,FALSE,,,,,
US,DELTA 4 DEMO SPACECRAFT,HEO,28500,PAYLOAD,2004,AFETR,-90.92001924,-107.0065548,"28.4917337,-80.5825555",,FALSE,,28500,FALSE,,,,7348,0,FALSE,,,,,
PRC,FENGYUN 1C DEB,LEO,30750,DEBRIS,1999,TSC,-131.0859727,149.0198411,"38.849086,111.608497",,FALSE,,30750,FALSE,,,,9400,0,FALSE,,,,,
PRC,CZ-4C DEB,LEO,38296,DEBRIS,2010,TSC,-91.65614593,-30.67934984,"38.849086,111.608497",,FALSE,,38296,FALSE,,,,5204,0,FALSE,,,,,
JPN,SDS-4,LEO,38339,PAYLOAD,2012,TNSTA,-118.4285304,-156.3827341,"30.4,130.97",,FALSE,,38339,FALSE,,,,4644,0,FALSE,,,,,
CIS,BREEZE-M DEB,HEO,38576,DEBRIS,2008,TTMTR,-26.56226664,-78.82274015,"45.965,63.305",,FALSE,,38576,FALSE,,,,6169,0,FALSE,,,,,
CIS,SL-8 DEB,LEO,39840,DEBRIS,1991,PKMTR,-170.9526895,-112.6118862,"62.925556,40.577778",,FALSE,,39840,FALSE,,,,12409,0,FALSE,,,,,
PRC,FENGYUN 1C DEB,LEO,41009,DEBRIS,1999,TSC,0,0,"38.849086,111.608497",,FALSE,,41009,FALSE,,,,9400,0,FALSE,,,,,
US,NOAA 16 DEB,LEO,41262,DEBRIS,2000,AFWTR,-19.50160663,-11.56501484,"34.742221,-120.57243",,FALSE,,41262,FALSE,,,,8900,0,FALSE,,,,,
US,NOAA 16 DEB,LEO,41280,DEBRIS,2000,AFWTR,65.61059708,132.8474932,"34.742221,-120.57243",,FALSE,,41280,FALSE,,,,8900,0,FALSE,,,,,
US,ATLAS CENTAUR R/B,GEO,43341,ROCKET BODY,2018,AFETR,38.14259351,84.15165002,"28.4917337,-80.5825555",,FALSE,,43341,FALSE,,,,2486,0,FALSE,,,,,
US,STARLINK-3328,LEO,50832,PAYLOAD,2022,AFETR,-96.4676708,-51.76946262,"28.4917337,-80.5825555",,FALSE,,50832,FALSE,,,,1123,15,FALSE,,,,,
US,ATLAS 5 CENTAUR DEB,HEO,52828,DEBRIS,2014,AFETR,-17.6569177,1.314486171,"28.4917337,-80.5825555",,FALSE,,52828,FALSE,,,,3791,0,FALSE,,,,,
US,STARLINK-5146,LEO,54073,PAYLOAD,2022,AFETR,52.42228448,90.50712054,"28.4917337,-80.5825555",,FALSE,,54073,FALSE,,,,836,8,FALSE,,,,,
PRC,CZ-6A DEB,LEO,55520,DEBRIS,2022,TSC,-18.74394719,115.2530708,"38.849086,111.608497",,FALSE,,55520,FALSE,,,,814,0,FALSE,,,,,
PRC,CZ-6A DEB,LEO,55551,DEBRIS,2022,TSC,-1.727916014,120.2147444,"38.849086,111.608497",,FALSE,,55551,FALSE,,,,814,0,FALSE,,,,,
UK,ONEWEB-0718,LEO,56081,PAYLOAD,2023,SRI,131.0707599,-153.338966,"13.7178,80.2",,FALSE,,56081,FALSE,,,,679,0,FALSE,,,,,
US,TOMORROW-R1,LEO,56199,PAYLOAD,2023,AFWTR,-120.700056,-22.74951888,"34.742221,-120.57243",,FALSE,,56199,FALSE,,,,659,5,FALSE,,,,,
US,STARLINK-5763,LEO,56505,PAYLOAD,2023,AFETR,-80.05460785,-112.9794017,"28.4917337,-80.5825555",,FALSE,,56505,FALSE,,,,630,1,FALSE,,,,,
US,STARLINK-6135,LEO,56539,PAYLOAD,2023,AFETR,57.24594234,27.0931473,"28.4917337,-80.5825555",,FALSE,,56539,FALSE,,,,630,1,FALSE,,,,,
