record_id,satellite_name,country,orbit_type,launch_year,launch_site,longitude,avg_longitude,geohash,days_old,conjunction_count,still_in_orbit,risk_level
,COSMOS 839 DEB,CIS,LEO,1976,PKMTR,29.398409,-32.934024,"62.925556,0,17741,true,false
,DELTA 1 DEB,US,LEO,1976,AFWTR,-49.975565,63.248446,"34.742221,0,17720,true,false
,SL-8 DEB,CIS,LEO,1991,PKMTR,-162.525458,-98.073951,"62.925556,0,12409,true,false
,SL-14 DEB,CIS,LEO,1991,PKMTR,9.339711,22.611557,"62.925556,0,12181,true,false
,SCOUT G-1 DEB,US,LEO,1987,AFWTR,0.000000,0.000000,"34.742221,0,13654,false,false
,CZ-4B DEB,PRC,LEO,2006,TSC,26.251803,127.108966,"38.849086,0,6857,true,false
,FENGYUN 1C DEB,PRC,LEO,1999,TSC,0.000000,0.000000,"38.849086,0,9400,false,false
,DELTA 4H DEB,US,Unknown Orbit Category,2007,AFETR,0.000000,0.000000,"28.4917337,0,6293,false,false
,PSLV DEB,IND,LEO,2001,SRI,-19.900378,94.220485,"13.7178,0,8504,true,false
,COSMOS 2251 DEB,CIS,LEO,1993,PKMTR,39.995854,50.954575,"62.925556,0,11554,true,false
,CZ-3C DEB,PRC,HEO,2010,XSC,-133.576256,-101.910312,"28.246017,0,5208,true,false
,FREGAT DEB,CIS,LEO,2011,TTMTR,0.000000,0.000000,"45.965,0,4948,false,false
,THORAD AGENA D DEB,US,LEO,1970,AFWTR,178.210320,-72.049400,"34.742221,0,20024,true,false
,COSMOS 2499 DEB,CIS,LEO,2014,PKMTR,0.000000,84.377789,"62.925556,0,3908,false,false
,CZ-6A DEB,PRC,LEO,2024,TSC,0.000000,32.228224,"38.849086,0,180,false,false
,CZ-6A DEB,PRC,LEO,2024,TSC,0.000000,22.595040,"38.849086,0,180,false,false
,DELTA 1 DEB,US,LEO,1976,AFWTR,-32.490048,127.186292,"34.742221,0,17720,true,false
,DELTA 1 DEB,US,LEO,1975,AFWTR,136.694589,-145.407890,"34.742221,0,18133,true,false
,SL-19 DEB,CIS,LEO,1994,TTMTR,164.320848,35.191148,"45.965,0,10996,true,false
,CZ-4 DEB,PRC,LEO,1999,TSC,-158.548131,-177.556800,"38.849086,0,9243,true,false
,DELTA 1 DEB,US,LEO,1977,AFETR,156.613547,-46.533180,"28.4917337,0,17370,true,false
,ARIANE 44L DEB,FR,HEO,1991,FRGUI,-109.605307,33.168378,"5.222222,0,12437,true,false
,FENGYUN 1C DEB,PRC,LEO,1999,TSC,-131.085973,149.019841,"38.849086,0,9400,true,false
,CZ-4C DEB,PRC,LEO,2010,TSC,-91.656146,-30.679350,"38.849086,0,5204,true,false
,BREEZE-M DEB,CIS,HEO,2008,TTMTR,-26.562267,-78.822740,"45.965,0,6169,true,false
,SL-8 DEB,CIS,LEO,1991,PKMTR,-170.952690,-112.611886,"62.925556,0,12409,true,false
,FENGYUN 1C DEB,PRC,LEO,1999,TSC,0.000000,0.000000,"38.849086,0,9400,false,false
,NOAA 16 DEB,US,LEO,2000,AFWTR,-19.501607,-11.565015,"34.742221,0,8900,true,false
,NOAA 16 DEB,US,LEO,2000,AFWTR,65.610597,132.847493,"34.742221,0,8900,true,false
,ATLAS 5 CENTAUR DEB,US,HEO,2014,AFETR,-17.656918,1.314486,"28.4917337,0,3791,true,false
,CZ-6A DEB,PRC,LEO,2022,TSC,-18.743947,115.253071,"38.849086,0,814,true,false
,CZ-6A DEB,PRC,LEO,2022,TSC,-1.727916,120.214744,"38.849086,0,814,true,false
,DELTA 1 DEB,US,LEO,1975,AFWTR,-27.863362,-80.304420,"34.742221,0,18197,true,false
,COSMOS 1275 DEB,CIS,LEO,1981,PKMTR,164.017256,-50.783715,"62.925556,0,15949,true,false
,SL-16 DEB,CIS,LEO,1990,TTMTR,73.319517,-41.965602,"45.965,0,12675,true,false
,DELTA 1 DEB,US,LEO,1965,AFETR,69.417027,102.431541,"28.4917337,0,21638,true,false
,METEOR 2-17 DEB,CIS,LEO,1988,PKMTR,-141.579144,53.886156,"62.925556,0,13518,true,false
,FENGYUN 1C DEB,PRC,LEO,1999,TSC,-21.847391,-42.290372,"38.849086,0,9400,true,false
,FENGYUN 1C DEB,PRC,LEO,1999,TSC,132.550005,-71.527610,"38.849086,0,9400,true,false
,FENGYUN 1C DEB,PRC,LEO,1999,TSC,-137.886235,31.223464,"38.849086,0,9400,true,false
,FENGYUN 1C DEB,PRC,LEO,1999,TSC,156.154196,-76.536911,"38.849086,0,9400,true,false
,ARIANE 2 DEB,FR,HEO,1989,FRGUI,-166.740638,133.016224,"5.222222,0,13155,true,false
,IRIDIUM 33 DEB,US,LEO,1997,TTMTR,-161.531332,-162.009546,"45.965,0,10003,true,false
,COSMOS 2251 DEB,CIS,LEO,1993,PKMTR,130.750213,0.000000,"62.925556,0,11554,true,false
,CZ-3C DEB,PRC,HEO,2012,XSC,0.000000,0.000000,"28.246017,0,4727,false,false
,SL-12 DEB,CIS,HEO,2008,TTMTR,0.000000,0.000000,"45.965,0,5974,false,false
,ATLAS 5 CENTAUR DEB,US,HEO,2018,AFETR,0.000000,0.000000,"28.4917337,0,2300,false,false
,COSMOS 2251 DEB,CIS,LEO,1993,PKMTR,-1.027668,145.826159,"62.925556,0,11554,true,false
T123,TestDebris,USA,LEO,2010,KSC,45.000000,47.000000,abc123,500,2,true,false
